id,card_brand,card_type,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,pin_age,expire_year,account_age,multi_card_client,limit_category
3342,Mastercard,Debit (Prepaid),yes,2,105,06/2007,2013,no,13,2020,6,yes,low
5622,Visa,Credit,no,2,7100,11/2010,2010,no,16,2021,5,yes,high
5424,Mastercard,Debit,yes,1,29351,11/2005,2007,no,19,2024,2,no,premium
2558,Mastercard,Debit,yes,2,15125,04/2008,2012,no,14,2020,6,yes,premium
5385,Mastercard,Credit,yes,2,8000,11/2003,2008,no,18,2021,5,yes,high
5596,Mastercard,Debit (Prepaid),yes,1,83,11/2010,2010,no,16,2011,15,no,low
3991,Amex,Credit,yes,2,23700,07/2012,2012,no,14,2024,2,yes,premium
6126,Visa,Credit,yes,2,700,12/2016,2016,no,10,2024,2,yes,low
3756,Mastercard,Debit,yes,2,7488,07/2006,2016,no,10,2024,2,yes,high
971,Visa,Credit,no,1,24900,02/1999,2010,no,16,2002,24,no,premium
2079,Mastercard,Debit,yes,2,30971,03/2005,2020,no,6,2021,5,yes,premium
387,Amex,Credit,yes,1,24400,01/2020,2020,no,6,2024,2,no,premium
444,Mastercard,Debit,yes,2,53549,01/2020,2020,no,6,2020,6,yes,premium
5277,Visa,Debit,yes,1,53036,10/2013,2013,no,13,2018,8,no,premium
4358,Mastercard,Debit,yes,1,35750,08/2011,2011,no,15,2024,2,no,premium
2318,Visa,Debit,yes,1,33375,03/2013,2013,no,13,2021,5,no,premium
6019,Visa,Debit (Prepaid),yes,2,22,12/2010,2010,no,16,2023,3,yes,low
4421,Discover,Credit,yes,1,13100,08/2014,2014,no,12,2020,6,no,premium
3702,Visa,Debit,yes,1,16516,07/2003,2011,no,15,2024,2,no,premium
2854,Mastercard,Credit,yes,1,15700,05/2004,2011,no,15,2016,10,no,premium
4114,Mastercard,Debit,yes,1,21058,08/2003,2007,no,19,2024,2,no,premium
28,Visa,Debit,yes,2,36425,01/2002,2004,no,22,2023,3,yes,premium
6127,Visa,Debit (Prepaid),yes,2,91,12/2016,2016,no,10,2021,5,yes,low
2477,Mastercard,Credit,yes,1,13400,04/2005,2014,no,12,2021,5,no,premium
2632,Mastercard,Credit,yes,2,21600,04/2010,2010,no,16,2021,5,yes,premium
1463,Mastercard,Debit,no,1,9090,02/2020,2020,no,6,2020,6,no,high
5679,Visa,Debit,no,1,25942,11/2012,2012,no,14,2023,3,no,premium
1012,Mastercard,Credit,yes,2,10700,02/2003,2013,no,13,2019,7,yes,premium
1464,Mastercard,Credit,yes,2,4900,02/2020,2020,no,6,2022,4,yes,medium
1465,Mastercard,Credit,no,1,18100,02/2020,2020,no,6,2022,4,no,premium
388,Amex,Credit,yes,2,7200,01/2020,2020,no,6,2024,2,yes,high
3708,Mastercard,Debit,yes,2,22660,07/2004,2007,no,19,2020,6,yes,premium
3087,Discover,Credit,yes,1,19800,05/2011,2011,no,15,2022,4,no,premium
67,Mastercard,Credit,yes,2,15500,01/2005,2014,no,12,2024,2,yes,premium
80,Visa,Debit (Prepaid),yes,1,13,01/2005,2008,no,18,2023,3,no,low
3665,Mastercard,Debit,yes,2,4317,07/2001,2011,no,15,2021,5,yes,medium
2014,Mastercard,Debit,no,1,14719,03/2000,2008,no,18,2021,5,no,premium
4906,Mastercard,Debit,yes,1,9532,09/2017,2017,no,9,2021,5,no,high
3757,Mastercard,Credit,yes,1,10900,07/2006,2014,no,12,2020,6,no,premium
5365,Mastercard,Credit,yes,2,6200,11/2001,2012,no,14,2024,2,yes,high
5425,Mastercard,Debit,yes,2,2903,11/2005,2011,no,15,2012,14,yes,medium
5758,Mastercard,Debit,yes,2,4355,12/1999,2010,no,16,2020,6,yes,medium
5482,Mastercard,Debit,yes,1,28963,11/2007,2012,no,14,2021,5,no,premium
3172,Mastercard,Debit,yes,2,20913,05/2016,2016,no,10,2022,4,yes,premium
1209,Mastercard,Debit,yes,1,23344,02/2010,2010,no,16,2024,2,no,premium
5313,Mastercard,Debit,yes,2,33642,10/2016,2016,no,10,2020,6,yes,premium
4762,Mastercard,Debit,yes,1,14695,09/2010,2011,no,15,2022,4,no,premium
126,Mastercard,Credit,yes,1,13200,01/2007,2015,no,11,2023,3,no,premium
4685,Visa,Debit,yes,1,29950,09/2008,2013,no,13,2020,6,no,premium
5907,Visa,Credit,yes,2,4600,12/2007,2011,no,15,2024,2,yes,medium
2428,Mastercard,Debit,yes,1,10051,04/2002,2011,no,15,2022,4,no,premium
1013,Mastercard,Debit,yes,2,9796,02/2003,2013,no,13,2015,11,yes,high
5145,Mastercard,Debit,yes,1,17826,10/2009,2009,no,17,2021,5,no,premium
5854,Mastercard,Debit,yes,1,19086,12/2006,2009,no,17,2024,2,no,premium
5296,Visa,Debit,yes,2,17345,10/2014,2014,no,12,2024,2,yes,premium
1327,Visa,Debit,yes,2,17976,02/2013,2013,no,13,2020,6,yes,premium
383,Visa,Debit,yes,2,16447,01/2019,2019,no,7,2022,4,yes,premium
5129,Visa,Debit,yes,2,29573,10/2008,2009,no,17,2024,2,yes,premium
5995,Mastercard,Debit (Prepaid),yes,2,98,12/2010,2010,no,16,2021,5,yes,low
4107,Mastercard,Debit,yes,2,2559,08/2002,2012,no,14,2019,7,yes,medium
36,Mastercard,Debit,yes,2,6552,01/2003,2010,no,16,2012,14,yes,high
445,Mastercard,Credit,yes,2,13800,01/2020,2020,no,6,2021,5,yes,premium
1466,Mastercard,Debit,yes,1,16375,02/2020,2020,no,6,2020,6,no,premium
749,Visa,Debit,yes,1,14213,01/2020,2020,no,6,2023,3,no,premium
1772,Visa,Debit (Prepaid),yes,1,73,02/2020,2020,no,6,2020,6,no,low
3801,Mastercard,Debit,yes,2,53466,07/2007,2013,no,13,2022,4,yes,premium
282,Visa,Credit,yes,1,6600,01/2011,2013,no,13,2020,6,no,high
6105,Mastercard,Credit,no,2,7200,12/2015,2015,no,11,2022,4,yes,high
446,Mastercard,Debit,yes,1,2868,01/2020,2020,no,6,2020,6,no,medium
422,Discover,Credit,yes,1,3400,01/2020,2020,no,6,2024,2,no,medium
5231,Mastercard,Debit,yes,1,12915,10/2011,2013,no,13,2022,4,no,premium
2615,Visa,Debit (Prepaid),yes,2,84,04/2009,2017,no,9,2023,3,yes,low
2776,Discover,Credit,yes,2,17600,04/2018,2018,no,8,2021,5,yes,premium
5452,Mastercard,Debit,yes,1,31542,11/2006,2009,no,17,2012,14,no,premium
3563,Mastercard,Debit,yes,2,23049,06/2013,2013,no,13,2022,4,yes,premium
6134,Visa,Debit,yes,1,29734,12/2017,2017,no,9,2020,6,no,premium
4818,Visa,Credit,yes,2,27000,09/2011,2016,no,10,2020,6,yes,premium
2171,Mastercard,Debit (Prepaid),yes,1,18,03/2008,2010,no,16,2022,4,no,low
6106,Mastercard,Debit,yes,1,17848,12/2015,2015,no,11,2023,3,no,premium
3042,Mastercard,Debit,no,1,25563,05/2010,2010,no,16,2022,4,no,premium
5209,Visa,Credit,yes,2,12000,10/2010,2010,no,16,2020,6,yes,premium
1296,Amex,Credit,no,2,6600,02/2012,2012,no,14,2018,8,yes,high
389,Amex,Credit,no,1,5600,01/2020,2020,no,6,2023,3,no,high
1773,Visa,Debit,yes,3,11873,02/2020,2020,no,6,2022,4,yes,premium
1467,Mastercard,Credit,yes,1,7200,02/2020,2020,no,6,2020,6,no,high
1395,Amex,Credit,yes,1,10000,02/2020,2020,no,6,2024,2,no,premium
5597,Mastercard,Credit,yes,2,500,11/2010,2010,no,16,2023,3,yes,low
1468,Mastercard,Debit,yes,1,22697,02/2020,2020,no,6,2020,6,no,premium
2309,Mastercard,Credit,yes,1,18000,03/2013,2013,no,13,2023,3,no,premium
3466,Mastercard,Debit,yes,1,32903,06/2010,2010,no,16,2024,2,no,premium
2804,Visa,Debit,yes,2,12764,05/1999,2010,no,16,2021,5,yes,premium
1388,Mastercard,Credit,yes,1,6300,02/2019,2019,no,7,2022,4,no,high
4660,Mastercard,Debit,yes,2,7541,09/2008,2013,no,13,2022,4,yes,high
3356,Visa,Debit,yes,2,1266,06/2007,2012,no,14,2022,4,yes,medium
4870,Mastercard,Credit,no,1,9500,09/2014,2014,no,12,2020,6,no,high
3467,Mastercard,Debit,yes,2,1837,06/2010,2010,no,16,2020,6,yes,medium
1079,Mastercard,Debit,yes,2,17453,02/2006,2008,no,18,2023,3,yes,premium
2977,Visa,Debit,no,1,28283,05/2008,2012,no,14,2013,13,no,premium
3073,Visa,Credit,yes,1,13500,05/2010,2012,no,14,2020,6,no,premium
3554,Visa,Credit,yes,2,13300,06/2012,2012,no,14,2014,12,yes,premium
2597,Mastercard,Debit,yes,2,17941,04/2009,2009,no,17,2021,5,yes,premium
3489,Visa,Credit,yes,1,14400,06/2010,2012,no,14,2018,8,no,premium
4003,Visa,Credit,yes,1,4400,07/2012,2012,no,14,2020,6,no,medium
1469,Mastercard,Credit,yes,1,13000,02/2020,2020,no,6,2020,6,no,premium
1774,Visa,Debit,yes,2,22701,02/2020,2020,no,6,2023,3,yes,premium
1470,Mastercard,Credit,no,1,16100,02/2020,2020,no,6,2024,2,no,premium
1471,Mastercard,Debit,yes,2,7629,02/2020,2020,no,6,2023,3,yes,high
2691,Mastercard,Debit,no,1,16538,04/2012,2012,no,14,2022,4,no,premium
174,Visa,Debit,yes,2,22746,01/2008,2010,no,16,2020,6,yes,premium
1364,Mastercard,Debit,yes,1,9737,02/2016,2016,no,10,2016,10,no,high
1266,Mastercard,Credit,yes,1,6500,02/2011,2014,no,12,2019,7,no,high
1267,Mastercard,Debit,yes,2,2650,02/2011,2013,no,13,2020,6,yes,medium
207,Visa,Credit,yes,2,8200,01/2009,2011,no,15,2012,14,yes,high
5448,Amex,Credit,yes,2,6200,11/2006,2013,no,13,2022,4,yes,high
5449,Amex,Credit,yes,2,22600,11/2006,2014,no,12,2021,5,yes,premium
2107,Mastercard,Debit,yes,2,6940,03/2006,2009,no,17,2024,2,yes,high
2398,Mastercard,Debit,yes,2,23408,04/1996,2008,no,18,2024,2,yes,premium
5414,Visa,Credit,yes,2,9700,11/2004,2007,no,19,2022,4,yes,high
3758,Mastercard,Debit,no,2,10538,07/2006,2006,no,20,2024,2,yes,premium
4097,Mastercard,Debit,yes,2,6853,08/2001,2006,no,20,2023,3,yes,high
5778,Mastercard,Debit,yes,2,607,12/2002,2010,no,16,2020,6,yes,low
4318,Mastercard,Credit,yes,1,0,08/2010,2010,no,16,2021,5,no,low
5015,Visa,Debit,yes,2,8253,10/2004,2011,no,15,2021,5,yes,high
750,Visa,Debit,yes,2,8492,01/2020,2020,no,6,2020,6,yes,high
242,Visa,Credit,yes,1,9100,01/2010,2010,no,16,2022,4,no,high
3966,Mastercard,Credit,no,2,2600,07/2011,2011,no,15,2022,4,yes,medium
5375,Mastercard,Credit,no,1,7300,11/2002,2010,no,16,2024,2,no,high
5166,Visa,Credit,yes,1,15000,10/2009,2009,no,17,2020,6,no,premium
1472,Mastercard,Credit,yes,2,18700,02/2020,2020,no,6,2024,2,yes,premium
751,Visa,Debit,yes,1,21458,01/2020,2020,no,6,2021,5,no,premium
5623,Visa,Credit,no,1,15700,11/2010,2014,no,12,2020,6,no,premium
6099,Mastercard,Debit,yes,2,20765,12/2014,2014,no,12,2020,6,yes,premium
1473,Mastercard,Debit,no,2,18101,02/2020,2020,no,6,2022,4,yes,premium
1775,Visa,Credit,yes,1,8400,02/2020,2020,no,6,2024,2,no,high
447,Mastercard,Debit,yes,1,1737,01/2020,2020,no,6,2020,6,no,medium
1474,Mastercard,Credit,yes,2,20900,02/2020,2020,no,6,2020,6,yes,premium
1776,Visa,Credit,yes,1,23700,02/2020,2020,no,6,2021,5,no,premium
448,Mastercard,Credit,yes,1,17500,01/2020,2020,no,6,2021,5,no,premium
5978,Visa,Debit,yes,1,26083,12/2009,2009,no,17,2024,2,no,premium
2978,Visa,Debit,yes,1,31589,05/2008,2008,no,18,2022,4,no,premium
4946,Visa,Credit,yes,2,24200,10/2000,2013,no,13,2021,5,yes,premium
1475,Mastercard,Debit,yes,2,18321,02/2020,2020,no,6,2020,6,yes,premium
5376,Mastercard,Debit,yes,2,7551,11/2002,2010,no,16,2022,4,yes,high
4127,Mastercard,Debit,yes,1,15377,08/2004,2011,no,15,2014,12,no,premium
5093,Visa,Debit,yes,1,12990,10/2007,2016,no,10,2023,3,no,premium
3490,Visa,Debit,yes,1,8509,06/2010,2010,no,16,2023,3,no,high
5702,Visa,Debit,yes,1,96907,11/2014,2014,no,12,2014,12,no,premium
2200,Visa,Credit,yes,1,43900,03/2008,2013,no,13,2015,11,no,premium
5436,Visa,Debit (Prepaid),yes,2,76,11/2005,2007,no,19,2020,6,yes,low
449,Mastercard,Debit,yes,2,50915,01/2020,2020,no,6,2020,6,yes,premium
1777,Visa,Debit,yes,2,31767,02/2020,2020,no,6,2021,5,yes,premium
3862,Visa,Credit,yes,2,13200,07/2008,2010,no,16,2024,2,yes,premium
1268,Mastercard,Credit,yes,2,16000,02/2011,2012,no,14,2022,4,yes,premium
752,Visa,Debit,yes,2,18132,01/2020,2020,no,6,2024,2,yes,premium
2704,Visa,Credit,yes,1,300,04/2012,2012,no,14,2019,7,no,low
2808,Mastercard,Debit,yes,2,2236,05/2000,2015,no,11,2022,4,yes,medium
4791,Visa,Debit,yes,2,21591,09/2010,2010,no,16,2019,7,yes,premium
1476,Mastercard,Debit,yes,2,11521,02/2020,2020,no,6,2020,6,yes,premium
753,Visa,Credit,no,1,8600,01/2020,2020,no,6,2020,6,no,high
4112,Amex,Credit,yes,1,9800,08/2003,2010,no,16,2020,6,no,high
1154,Visa,Credit,yes,2,11300,02/2008,2009,no,17,2012,14,yes,premium
2598,Mastercard,Credit,yes,1,8400,04/2009,2011,no,15,2019,7,no,high
10,Mastercard,Debit,yes,1,16597,01/1999,2009,no,17,2023,3,no,premium
4655,Amex,Credit,yes,2,9400,09/2008,2008,no,18,2020,6,yes,high
5908,Visa,Debit,yes,1,18702,12/2007,2007,no,19,2008,18,no,premium
3357,Visa,Debit,yes,1,24806,06/2007,2007,no,19,2022,4,no,premium
5502,Visa,Debit,yes,1,19856,11/2007,2011,no,15,2023,3,no,premium
1238,Visa,Debit (Prepaid),yes,2,68,02/2010,2010,no,16,2021,5,yes,low
3412,Amex,Credit,yes,2,4900,06/2009,2009,no,17,2022,4,yes,medium
1477,Mastercard,Debit,yes,1,13390,02/2020,2020,no,6,2022,4,no,premium
1396,Amex,Credit,yes,3,8400,02/2020,2020,no,6,2024,2,yes,high
1297,Amex,Credit,yes,2,13700,02/2012,2012,no,14,2024,2,yes,premium
3605,Discover,Credit,yes,2,4200,06/2016,2016,no,10,2024,2,yes,medium
5167,Visa,Debit,yes,2,2292,10/2009,2015,no,11,2020,6,yes,medium
3922,Amex,Credit,yes,1,8800,07/2010,2010,no,16,2021,5,no,high
5453,Mastercard,Credit,no,2,7600,11/2006,2009,no,17,2023,3,yes,high
2888,Visa,Credit,yes,2,6200,05/2005,2018,no,8,2021,5,yes,high
3208,Mastercard,Credit,yes,1,12900,06/1999,2011,no,15,2023,3,no,premium
4661,Mastercard,Debit,yes,2,18820,09/2008,2015,no,11,2022,4,yes,premium
3277,Visa,Debit,yes,2,16167,06/2004,2009,no,17,2005,21,yes,premium
1107,Mastercard,Credit,yes,2,4200,02/2007,2011,no,15,2023,3,yes,medium
3310,Mastercard,Debit,yes,2,18861,06/2006,2011,no,15,2024,2,yes,premium
1279,Visa,Debit,no,1,27231,02/2011,2011,no,15,2020,6,no,premium
1778,Visa,Debit,yes,1,24390,02/2020,2020,no,6,2024,2,no,premium
1478,Mastercard,Debit,yes,1,3106,02/2020,2020,no,6,2023,3,no,medium
2108,Mastercard,Debit,yes,2,13595,03/2006,2010,no,16,2020,6,yes,premium
5143,Discover,Credit,no,2,12300,10/2009,2009,no,17,2009,17,yes,premium
4151,Mastercard,Credit,yes,2,12300,08/2005,2009,no,17,2019,7,yes,premium
3606,Mastercard,Debit,yes,1,20743,06/2016,2016,no,10,2021,5,no,premium
3248,Mastercard,Debit,yes,2,17706,06/2003,2010,no,16,2021,5,yes,premium
2996,Mastercard,Debit,yes,2,20962,05/2009,2009,no,17,2022,4,yes,premium
4,Mastercard,Debit,yes,2,19439,01/1997,2007,no,19,2024,2,yes,premium
3257,Visa,Debit,no,1,30160,06/2003,2017,no,9,2022,4,no,premium
3626,Amex,Credit,yes,2,0,06/2018,2018,no,8,2022,4,yes,low
1039,Visa,Debit,no,1,28937,02/2004,2008,no,18,2012,14,no,premium
2080,Mastercard,Debit (Prepaid),no,2,22,03/2005,2011,no,15,2020,6,yes,low
49,Mastercard,Debit,yes,2,1575,01/2004,2005,no,21,2015,11,yes,medium
4964,Mastercard,Debit,yes,2,7562,10/2002,2011,no,15,2020,6,yes,high
4093,Mastercard,Debit,yes,2,17211,08/1999,2013,no,13,2024,2,yes,premium
2979,Visa,Credit,no,2,9500,05/2008,2010,no,16,2010,16,yes,high
3513,Mastercard,Debit,yes,2,24191,06/2011,2011,no,15,2022,4,yes,premium
3732,Mastercard,Debit (Prepaid),yes,2,68,07/2005,2006,no,20,2023,3,yes,low
2925,Mastercard,Debit,yes,2,8037,05/2007,2010,no,16,2020,6,yes,high
1167,Mastercard,Debit (Prepaid),yes,2,97,02/2009,2015,no,11,2018,8,yes,low
450,Mastercard,Debit,yes,1,15555,01/2020,2020,no,6,2021,5,no,premium
2759,Mastercard,Debit,yes,1,18242,04/2016,2016,no,10,2016,10,no,premium
1779,Visa,Debit (Prepaid),yes,2,62,02/2020,2020,no,6,2021,5,yes,low
754,Visa,Debit,no,1,16715,01/2020,2020,no,6,2022,4,no,premium
1479,Mastercard,Debit (Prepaid),yes,1,46,02/2020,2020,no,6,2020,6,no,low
1298,Mastercard,Debit,yes,2,20195,02/2012,2012,no,14,2021,5,yes,premium
3640,Mastercard,Debit,yes,2,39818,06/2019,2019,no,7,2019,7,yes,premium
3074,Visa,Debit,yes,2,33736,05/2010,2010,no,16,2018,8,yes,premium
4239,Mastercard,Debit,yes,2,17850,08/2008,2008,no,18,2011,15,yes,premium
4147,Amex,Credit,yes,2,11300,08/2005,2008,no,18,2021,5,yes,premium
3075,Visa,Debit,no,2,1981,05/2010,2014,no,12,2015,11,yes,medium
4289,Mastercard,Debit,yes,1,15695,08/2009,2010,no,16,2024,2,no,premium
2172,Mastercard,Debit,yes,2,23475,03/2008,2011,no,15,2014,12,yes,premium
5366,Mastercard,Credit,yes,1,12900,11/2001,2011,no,15,2017,9,no,premium
2673,Mastercard,Debit (Prepaid),yes,1,91,04/2011,2011,no,15,2021,5,no,low
965,Mastercard,Debit,yes,2,15341,02/1999,2014,no,12,2022,4,yes,premium
4763,Mastercard,Debit,yes,2,42116,09/2010,2011,no,15,2015,11,yes,premium
451,Mastercard,Debit,no,2,39312,01/2020,2020,no,6,2020,6,yes,premium
3300,Visa,Debit,no,2,21370,06/2005,2010,no,16,2008,18,yes,premium
5226,Amex,Credit,yes,2,16700,10/2011,2011,no,15,2022,4,yes,premium
5477,Amex,Credit,yes,1,17800,11/2007,2011,no,15,2024,2,no,premium
5877,Mastercard,Credit,yes,2,16200,12/2007,2011,no,15,2020,6,yes,premium
